name	ops	time	ops/time
ContextJS:Method:Standard:0	3355443200	8329	402863
ContextJS:Method:Standard:1	1677721600	6876	243997
ContextJS:Method:Standard:2	838860800	5449	153948
ContextJS:Method:Standard:3	838860800	7685	109156
ContextJS:Method:Standard:4	104857600	6573	15953
ContextJS:Method:Standard:5	104857600	6488	16162
ContextJS:Method:Standard:6	104857600	7361	14245
ContextJS:Method:Standard:7	104857600	6661	15742
ContextJS:Method:Standard:8	104857600	6388	16415
ContextJS:Method:Standard:9	104857600	6308	16623
ContextJS:Method:Standard:10	104857600	6340	16539
ContextJS:Method:NoLayer_01	3355443200	9555	351171
ContextJS:Method:NoLayer_02	3355443200	9603	349416
ContextJS:Method:NoLayer_03	3355443200	9590	349890
ContextJS:Method:NoLayer_04	3355443200	9576	350401
ContextJS:Method:NoLayer_05	3355443200	9620	348799
ContextJS:Method:NoLayer_06	1677721600	5238	320298
ContextJS:Method:NoLayer_07	1677721600	6220	269730
ContextJS:Method:NoLayer_08	1677721600	6982	240292
ContextJS:Method:NoLayer_09	1677721600	8120	206616
ContextJS:Method:NoLayer_10	1677721600	8894	188635
ContextJS:Method:WithLayer:0	3276800	7003	468
ContextJS:Method:WithLayer:1	1638400	5028	326
ContextJS:Method:WithLayer:2	1638400	6335	259
ContextJS:Method:WithLayer:3	1638400	7419	221
ContextJS:Method:WithLayer:4	1638400	8578	191
ContextJS:Method:WithLayer:5	1638400	9930	165
ContextJS:Method:WithLayer:6	819200	5525	148
ContextJS:Method:WithLayer:7	819200	6120	134
ContextJS:Method:WithLayer:8	819200	6610	124
ContextJS:Method:WithLayer:9	819200	7291	112
ContextJS:Method:WithLayer:10	819200	8079	101
ContextJS:ActivateLayer:0	819200	9050	91
ContextJS:ActivateLayer:1	409600	6661	61
ContextJS:ActivateLayer:2	409600	9297	44
ContextJS:ActivateLayer:3	204800	6355	32
ContextJS:ActivateLayer:4	204800	8587	24
ContextJS:ActivateLayer:5	102400	5634	18
ContextJS:ActivateLayerFlat:0	819200	8876	92
ContextJS:ActivateLayerFlat:1	409600	6546	63
ContextJS:ActivateLayerFlat:2	409600	7344	56
ContextJS:ActivateLayerFlat:3	409600	7815	52
ContextJS:ActivateLayerFlat:4	409600	8475	48
ContextJS:ActivateLayerFlat:5	409600	8841	46
WrapperBenchmark:Default	3355443200	9434	355676
WrapperBenchmark:InstanceSpecific	838860800	5757	145711
WrapperBenchmark:ManualWrap	52428800	9917	5287
WrapperBenchmark:Wrap	6553600	9661	678
WrapperBenchmark:ArgsToArray	13107200	5533	2369
