name	ops	time	ops/time
ContextJS:Method:Standard:0	838860800	11546	72654
ContextJS:Method:Standard:1	209715200	5181	40478
ContextJS:Method:Standard:2	209715200	5652	37105
ContextJS:Method:Standard:3	209715200	6207	33787
ContextJS:Method:Standard:4	209715200	6969	30093
ContextJS:Method:Standard:5	209715200	7268	28855
ContextJS:Method:Standard:6	209715200	7628	27493
ContextJS:Method:Standard:7	209715200	8261	25386
ContextJS:Method:Standard:8	209715200	8939	23461
ContextJS:Method:Standard:9	209715200	9146	22930
ContextJS:Method:Standard:10	209715200	9106	23030
ContextJS:Method:NoLayer_01	838860800	7719	108675
ContextJS:Method:NoLayer_02	838860800	8256	101606
ContextJS:Method:NoLayer_03	838860800	8896	94296
ContextJS:Method:NoLayer_04	419430400	5796	72365
ContextJS:Method:NoLayer_05	419430400	5327	78737
ContextJS:Method:NoLayer_06	419430400	9751	43014
ContextJS:Method:NoLayer_07	209715200	9131	22967
ContextJS:Method:NoLayer_08	209715200	8107	25868
ContextJS:Method:NoLayer_09	209715200	8749	23970
ContextJS:Method:NoLayer_10	209715200	9537	21990
ContextJS:Method:WithLayer:0	409600	9138	45
ContextJS:Method:WithLayer:1	819200	8575	96
ContextJS:Method:WithLayer:2	409600	5346	77
ContextJS:Method:WithLayer:3	409600	5764	71
ContextJS:Method:WithLayer:4	409600	6410	64
ContextJS:Method:WithLayer:5	409600	7626	54
ContextJS:Method:WithLayer:6	409600	8141	50
ContextJS:Method:WithLayer:7	409600	8639	47
ContextJS:Method:WithLayer:8	409600	9553	43
ContextJS:Method:WithLayer:9	204800	5246	39
ContextJS:Method:WithLayer:10	204800	5572	37
ContextJS:ActivateLayer:0	204800	9815	21
ContextJS:ActivateLayer:1	102400	5360	19
ContextJS:ActivateLayer:2	102400	7306	14
ContextJS:ActivateLayer:3	102400	7704	13
ContextJS:ActivateLayer:4	102400	9248	11
ContextJS:ActivateLayer:5	51200	5416	9
ContextJS:ActivateLayerFlat:0	204800	9597	21
ContextJS:ActivateLayerFlat:1	102400	5916	17
ContextJS:ActivateLayerFlat:2	102400	5729	18
ContextJS:ActivateLayerFlat:3	102400	5780	18
ContextJS:ActivateLayerFlat:4	102400	6012	17
ContextJS:ActivateLayerFlat:5	102400	6118	17
WrapperBenchmark:Default	419430400	6381	65731
WrapperBenchmark:InstanceSpecific	419430400	6627	63291
WrapperBenchmark:ManualWrap	26214400	9804	2674
WrapperBenchmark:Wrap	3276800	7628	430
WrapperBenchmark:ArgsToArray	6553600	8636	759
