name	ops	time	ops/time
ContextJS:Method:Standard:0	3355443200	8037	417499
ContextJS:Method:Standard:1	1677721600	7978	210294
ContextJS:Method:Standard:2	838860800	6458	129895
ContextJS:Method:Standard:3	838860800	9499	88310
ContextJS:Method:Standard:4	838860800	8399	99876
ContextJS:Method:Standard:5	838860800	9934	84443
ContextJS:Method:Standard:6	419430400	9687	43298
ContextJS:Method:Standard:7	209715200	5281	39711
ContextJS:Method:Standard:8	209715200	6144	34133
ContextJS:Method:Standard:9	209715200	6611	31722
ContextJS:Method:Standard:10	104857600	8115	12921
ContextJS:Method:NoLayer_01	3355443200	9819	341730
ContextJS:Method:NoLayer_02	1677721600	5108	328450
ContextJS:Method:NoLayer_03	1677721600	5335	314475
ContextJS:Method:NoLayer_04	1677721600	5190	323260
ContextJS:Method:NoLayer_05	1677721600	5859	286349
ContextJS:Method:NoLayer_06	1677721600	6689	250818
ContextJS:Method:NoLayer_07	1677721600	8961	187225
ContextJS:Method:NoLayer_08	1677721600	9384	178785
ContextJS:Method:NoLayer_09	838860800	5829	143912
ContextJS:Method:NoLayer_10	838860800	6809	123199
ContextJS:Method:WithLayer:0	3276800	17507	187
ContextJS:Method:WithLayer:1	819200	8145	101
ContextJS:Method:WithLayer:2	409600	5001	82
ContextJS:Method:WithLayer:3	409600	6088	67
ContextJS:Method:WithLayer:4	819200	6487	126
ContextJS:Method:WithLayer:5	819200	7186	114
ContextJS:Method:WithLayer:6	819200	8116	101
ContextJS:Method:WithLayer:7	819200	9040	91
ContextJS:Method:WithLayer:8	409600	5211	79
ContextJS:Method:WithLayer:9	409600	5375	76
ContextJS:Method:WithLayer:10	409600	5812	70
ContextJS:ActivateLayer:0	409600	8773	47
ContextJS:ActivateLayer:1	204800	6167	33
ContextJS:ActivateLayer:2	204800	8434	24
ContextJS:ActivateLayer:3	102400	5683	18
ContextJS:ActivateLayer:4	102400	7459	14
ContextJS:ActivateLayer:5	102400	9643	11
ContextJS:ActivateLayerFlat:0	409600	8455	48
ContextJS:ActivateLayerFlat:1	204800	5750	36
ContextJS:ActivateLayerFlat:2	204800	6181	33
ContextJS:ActivateLayerFlat:3	204800	6659	31
ContextJS:ActivateLayerFlat:4	204800	7237	28
ContextJS:ActivateLayerFlat:5	204800	7383	28
WrapperBenchmark:Default	3355443200	10007	335310
WrapperBenchmark:InstanceSpecific	838860800	6922	121188
WrapperBenchmark:ManualWrap	26214400	7509	3491
WrapperBenchmark:Wrap	3276800	7265	451
WrapperBenchmark:ArgsToArray	13107200	7084	1850
