name	ops	time	ops/time
ContextL:Method:NoLayer:1	819200000	6963	117650.44
ContextL:Method:NoLayer:2	409600000	5213	78572.8
ContextL:Method:NoLayer:3	409600000	6410	63900.157
ContextL:Method:NoLayer:4	409600000	8351	49048.02
ContextL:Method:NoLayer:5	409600000	9983	41029.75
ContextL:Method:NoLayer:6	204800000	5975	34276.153
ContextL:Method:NoLayer:7	204800000	10780	18998.145
ContextL:Method:NoLayer:8	102400000	5015	20418.745
ContextL:Method:NoLayer:9	102400000	6229	16439.237
ContextL:Method:NoLayer:10	102400000	6189	16545.485
ContextL:Method:Layer	409600000	5183	79027.59
ContextL:Method:Layer:1	204800000	7261	28205.48
ContextL:Method:Layer:2	204800000	8743	23424.454
ContextL:Method:Layer:3	204800000	9543	21460.756
ContextL:Method:Layer:4	102400000	5558	18423.893
ContextL:Method:Layer:5	102400000	6249	16386.622
ContextL:Method:Layer:6	102400000	6915	14808.388
ContextL:Method:Layer:7	102400000	11725	8733.476
ContextL:Method:Layer:8	51200000	6245	8198.559
ContextL:Method:Layer:9	51200000	8165	6270.6675
ContextL:Method:Layer:10	51200000	6589	7770.527
ContextL:WithNested:Layer:0	102400000	5668	18066.338
ContextL:WithNested:Layer:1	102400000	7560	13544.974
ContextL:WithNested:Layer:2	102400000	8556	11968.209
ContextL:WithNested:Layer:3	102400000	9913	10329.87
ContextL:WithNested:Layer:4	25600000	6281	4075.7842
ContextL:WithNested:Layer:5	51200000	11466	4465.376
