name	ops	time	ops/time
ContextPy:Method:NoLayer:1	819200000	8530	96036
ContextPy:Method:NoLayer:2	819200000	9713	84337
ContextPy:Method:NoLayer:3	409600000	5156	79429
ContextPy:Method:NoLayer:4	409600000	5868	69798
ContextPy:Method:NoLayer:5	409600000	6553	62504
ContextPy:Method:NoLayer:6	409600000	7715	53090
ContextPy:Method:NoLayer:7	409600000	8428	48599
ContextPy:Method:NoLayer:8	409600000	9287	44100
ContextPy:Method:NoLayer:9	204800000	5089	40236
ContextPy:Method:NoLayer:10	204800000	5459	37513
ContextPy:Method:WithLayer:0	1638400000	5666	289135
ContextPy:Method:WithLayer:1	409600000	5994	68327
ContextPy:Method:WithLayer:2	204800000	5287	38730
ContextPy:Method:WithLayer:3	204800000	7726	26504
ContextPy:Method:WithLayer:4	102400000	5949	17212
ContextPy:Method:WithLayer:5	102400000	6662	15369
ContextPy:Method:WithLayer:6	102400000	7818	13096
ContextPy:Method:WithLayer:7	51200000	9928	5156
ContextPy:Method:WithLayer:8	12800000	5931	2157
ContextPy:Method:WithLayer:9	12800000	7323	1747
ContextPy:Method:WithLayer:10	6400000	5938	1077
ContextPy:ActivateLayer:0	102400000	6578	15566
ContextPy:ActivateLayer:1	51200000	7689	6658
ContextPy:ActivateLayer:2	12800000	5457	2345
ContextPy:ActivateLayer:3	6400000	8194	781
ContextPy:ActivateLayer:4	3200000	5472	584
ContextPy:ActivateLayer:5	3200000	7450	429
