name	ops	time	ops/time
ContextPy:Method:NoLayer:1	819200000	8500	96376
ContextPy:Method:NoLayer:2	819200000	9036	90659
ContextPy:Method:NoLayer:3	409600000	5281	77548
ContextPy:Method:NoLayer:4	409600000	5889	69543
ContextPy:Method:NoLayer:5	409600000	6542	62606
ContextPy:Method:NoLayer:6	409600000	7649	53546
ContextPy:Method:NoLayer:7	409600000	8629	47466
ContextPy:Method:NoLayer:8	409600000	9485	43182
ContextPy:Method:NoLayer:9	204800000	5236	39109
ContextPy:Method:NoLayer:10	204800000	5467	37458
ContextPy:Method:WithLayer:0	3276800000	7697	425711
ContextPy:Method:WithLayer:1	1638400000	7412	221026
ContextPy:Method:WithLayer:2	1638400000	8652	189365
ContextPy:Method:WithLayer:3	819200000	5981	136966
ContextPy:Method:WithLayer:4	409600000	7550	54245
ContextPy:Method:WithLayer:5	409600000	8101	50555
ContextPy:Method:WithLayer:6	409600000	9573	42782
ContextPy:Method:WithLayer:7	51200000	7381	6936
ContextPy:Method:WithLayer:8	12800000	6120	2091
ContextPy:Method:WithLayer:9	12800000	7584	1687
ContextPy:Method:WithLayer:10	6400000	6225	1028
ContextPy:ActivateLayer:0	409600000	5659	72379
ContextPy:ActivateLayer:1	409600000	7060	58009
ContextPy:ActivateLayer:2	102400000	6465	15836
ContextPy:ActivateLayer:3	102400000	10243	9996
ContextPy:ActivateLayer:4	51200000	6855	7468
ContextPy:ActivateLayer:5	51200000	8750	5851
