name	ops	time	ops/time
ContextPy:Method:NoLayer:1	25600000	5364	4772
ContextPy:Method:NoLayer:2	25600000	9077	2820
ContextPy:Method:NoLayer:3	12800000	6010	2129
ContextPy:Method:NoLayer:4	12800000	7559	1693
ContextPy:Method:NoLayer:5	12800000	8953	1429
ContextPy:Method:NoLayer:6	6400000	5332	1200
ContextPy:Method:NoLayer:7	6400000	6009	1064
ContextPy:Method:NoLayer:8	6400000	6827	937
ContextPy:Method:NoLayer:9	6400000	7494	853
ContextPy:Method:NoLayer:10	6400000	8401	761
ContextPy:Method:WithLayer:0	3200000	17152	186
ContextPy:Method:WithLayer:1	3200000	28862	110
ContextPy:Method:WithLayer:2	3200000	40649	78
ContextPy:Method:WithLayer:3	3200000	52265	61
ContextPy:Method:WithLayer:4	3200000	63898	50
ContextPy:Method:WithLayer:5	3200000	74462	42
ContextPy:Method:WithLayer:6	3200000	85436	37
ContextPy:Method:WithLayer:7	3200000	97494	32
ContextPy:Method:WithLayer:8	3200000	111529	28
ContextPy:Method:WithLayer:9	3200000	123244	25
ContextPy:Method:WithLayer:10	3200000	133814	23
ContextPy:ActivateLayer:0	3200000	86547	36
ContextPy:ActivateLayer:1	3200000	99693	32
ContextPy:ActivateLayer:2	3200000	108775	29
ContextPy:ActivateLayer:3	3200000	118691	26
ContextPy:ActivateLayer:4	3200000	130463	24
ContextPy:ActivateLayer:5	3200000	139914	22
